Renderer,Driver,MSAA,width,height,FPS,seconds,core_temp,core_temp_fahrenheit,core_vddc,core_load,gpu_power,core_clock,mem_clock,sys_mem_load,proc_mem_load,gpu_mem_load
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,42.0,107.6,0.000,0.0,0.0,1227.0,3003.0,20,82952192,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,42.0,107.6,0.000,6.0,10.2,315.0,405.0,20,82821120,1114
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,257,15.8,42.0,107.6,0.000,2.0,0.0,1227.0,3003.0,20,82821120,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,142,1.4,52.0,125.6,0.000,60.0,86.5,1395.0,7000.0,20,112037888,1132
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,142,1.4,42.0,107.6,0.000,0.0,0.0,1227.0,3003.0,20,112037888,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,161,3.5,53.0,127.4,0.000,99.0,89.6,1395.0,7000.0,20,112037888,1132
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,161,3.5,42.0,107.6,0.000,0.0,0.0,1227.0,3003.0,20,112037888,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.5,54.0,129.2,0.000,99.0,87.9,1395.0,7000.0,20,112037888,1133
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.5,42.0,107.6,0.000,0.0,0.0,1227.0,3003.0,20,112037888,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,48.0,118.4,0.000,1.0,25.5,1875.0,7000.0,20,81567744,1133
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,42.0,107.6,0.000,0.0,0.0,1227.0,3003.0,20,81567744,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,45.0,113.0,0.000,1.0,13.8,315.0,5000.0,20,81555456,1133
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1904,1041,160,5.8,42.0,107.6,0.000,1.0,0.0,1227.0,3003.0,20,81555456,-1
